_id,Job Title,Company Name,Location,Job Type,Workplace Type,Years of Experience,Career Level,Job Category,Skills,Job Link
680d059c9eeca96d883e57f8,Medical Representative -Sharqia,dkt Egypt -,"Faqus, Sharqia, Egypt",Full Time,Remote,· 2+ Yrs of Exp,Experienced,· Medical/Healthcare,"['· Sales', '· Marketing', '· Promotion', '· Detailing', '· Territoy Management', '· Pharmaceutical', '· Medical']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/EgUgX3djgfFd-Medical-Representative--Sharqia-dkt-Egypt-Sharqia-Egypt
680d059c9eeca96d883e57f9,Telesales Agent,proleaders -,"Mohandessin, Giza, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,Experienced,· Customer Service/Support,"['· Communication', '· Communication skills', '· Customer Service', '· Sales', '· sales skills', '· Skills', '· Telesales', '· MS']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7Q5Fv3PaC5ZE-Telesales-Agent-proleaders-Giza-Egypt
680d059c9eeca96d883e57fa,HR Administrator,United Industrial Inspection Services Co. (UIS) -,"Maadi, Cairo, Egypt",Full Time,On-site,· 4 - 6 Yrs of Exp,Experienced,· Administration,"['· Recruitment', '· English', '· Human Resources (HR)', '· HR', '· Accounting', '· Business Administration', '· office']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/UwGZ6H3R5DAj-HR-Administrator-United-Industrial-Inspection-Services-Co-UIS-Cairo-Egypt
680d059c9eeca96d883e57fb,Sales Manager,Roasty -,"Qalyub, Qalubia, Egypt",Full Time,On-site,· 10+ Yrs of Exp,Manager,· Manufacturing/Production,"['· Sales Manager', '· Sales']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/O98iKCJCGDze-Sales-Manager-MAAMOUN-GROUP-Qalubia-Egypt
680d059c9eeca96d883e57fc,"Manager, Procurement.",ESLSCA University -,"6th of October, Giza, Egypt",Full Time,On-site,· 5 - 7 Yrs of Exp,Manager,· Logistics/Supply Chain,"['· Procurement', '· Purchasing', '· Logistics']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/f6AyGz8L4XpW-Manager-Procurement-ESLSCA-University-Giza-Egypt
680d059c9eeca96d883e57fd,Customer Support Representative,RAYA Auto -,"6th of October, Giza, Egypt",Full Time,Hybrid,· 1 - 3 Yrs of Exp,Experienced,· Customer Service/Support,"['· Customer Service', '· Customer Support']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3KW8rQhIv3Wi-Customer-Support-Representative-RAYA-Auto-Giza-Egypt
680d059c9eeca96d883e57fe,Customer Service Specialist,proleaders -,"Dokki, Giza, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,Experienced,· Customer Service/Support,"['· Communication', '· Communication skills', '· Customer', '· Customer Care', '· Customer Experience', '· Customer Service', '· Customer Support', '· Sales', '· Skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/14pYxcx357zc-Customer-Service-Specialist-proleaders-Giza-Egypt
680d059c9eeca96d883e57ff,Sales Supervisor,OPPO Egypt  -,"Ismailia, Ismailia, Egypt",Full Time,On-site,· 2 - 3 Yrs of Exp,Entry Level,· Customer Service/Support,"['· Sales', '· Smartphones', '· Customer Service', '· Customer Care', '· Customer Support', '· Sales Supervisor', '· Leadership']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6ugVBZTJfZIT-Sales-Supervisor-OPPO-Egypt-Ismailia-Egypt
680d059c9eeca96d883e5800,Sr. Agri Purchasing specialist (Crops),Mozare3 -,"6th of October, Giza, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,Experienced,· Accounting/Finance,"['· business', '· Administration', '· Suppliers', '· Purchasing', '· supply chain management', '· Business Administration', '· Communication']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3fZUr9QbewNE-Sr-Agri-Purchasing-specialist-Crops-Mozare3-Giza-Egypt
680d059c9eeca96d883e5801,Social Media Moderator,Alarabia Group -,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,Experienced,· Marketing/PR/Advertising,"['· Advertising', '· Marketing', '· media', '· Social Media', '· Communication skills', '· Arabic', '· English']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jAIlsUmp4ODM-Social-Media-Moderator-Alarabia-Group-Sharqia-Egypt
680d059c9eeca96d883e5802,CRM Representative,RAYA Auto -,"6th of October, Giza, Egypt",Full Time,On-site,· 2+ Yrs of Exp,Experienced,· Customer Service/Support,"['· Communication', '· CRM', '· Customer Service', '· Automotive', '· Call Center', '· Sales', '· sales skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/mHvyDqeG9spg-CRM-Representative-RAYA-Auto-Giza-Egypt
680d059c9eeca96d883e5803,Dispatcher - Port Said,Naqla -,"Port Said, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,Entry Level,· Logistics/Supply Chain,"['· Logistics', '· dispatching', '· Supply Chain', '· Transportation']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aV5sd422Juj4-Dispatcher---Port-Said-Naqla-Port-Said-Egypt
680d059c9eeca96d883e5804,Senior Talent Acquisition Specialist - (Experience in Construction Companies),New Plan  -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 5 - 7 Yrs of Exp,Experienced,· Human Resources,"['· CBI', '· Communication', '· Hiring', '· Human Resources (HR)', '· Interviewing', '· Interviews', '· Mass Hiring', '· Recruitment', '· Talent']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/m6ufJ6YuuJjY-Senior-Talent-Acquisition-Specialist---Experience-in-Construction-Companies-New-Plan-Cairo-Egypt
680d059c9eeca96d883e5805,Accountant,Titan Cement Egypt  -,"Sheraton, Cairo, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,Experienced,· Accounting/Finance,"['· Finance', '· Accounting', '· Advanced Excel', '· Financial', '· Financial Accounting', '· Financial Analysis', '· Financial Management', '· SAP', '· English']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/57G4nDNWsNNF-Accountant-Titan-Cement-Egypt-Cairo-Egypt
680d059c9eeca96d883e5806,Medical Devices Sales Engineer,Confidential -,"Cairo, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,Experienced,· Medical/Healthcare,"['· Engineering', '· Communication', '· Presentation', '· Sales', '· sales skills', '· Selling', '· technical']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/nRH5dQWOG1Rf-Medical-Devices-Sales-Engineer-Cairo-Egypt
680d059c9eeca96d883e5807,Human Resources Generalist,Smart Group -,"Nozha, Cairo, Egypt",Full Time,Hybrid,· 2 - 3 Yrs of Exp,Experienced,· Human Resources,"['· Human Resources', '· Recruitment', '· Personnel']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/33PLqoIRo4BD-Human-Resources-Generalist-Smart-Group-Cairo-Egypt
680d059c9eeca96d883e5808,Project Senior Mechanical Engineer,Saint-Gobain -,"Ain Sokhna, Suez, Egypt",Freelance / Project,On-site,· 8 - 12 Yrs of Exp,Experienced,· Engineering - Construction/Civil/Architecture,"['· Mechanical Engineering', '· Mechanical', '· Project', '· Project Management', '· Engineering', '· Installation', '· AutoCAD', '· Construction']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/mHJx5PZvrtpK-Project-Senior-Mechanical-Engineer-Saint-Gobain-Suez-Egypt
680d059c9eeca96d883e5809,Medical Sales Representative,STARK -,"Maadi, Cairo, Egypt",Full Time,Remote,· 1 - 5 Yrs of Exp,Entry Level,· Medical/Healthcare,"['· medical rep', '· Medical Sales', '· Medical Equipment', '· Medical', '· Sales', '· Sales Target', '· sales skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Iad8h94UPM81-Medical-Sales-Representative-STARK-Cairo-Egypt
680d059c9eeca96d883e580a,Mechanical Engineer,Nosco -,"Alexandria, Egypt",Full Time,Hybrid,· 1 - 4 Yrs of Exp,Entry Level,· Engineering - Mechanical/Electrical,"['· Mechanical Engineering', '· Mechanical', '· Engineering', '· English']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/SgDxqHOTIXlb-Mechanical-Engineer-Nosco-Alexandria-Egypt
680d059c9eeca96d883e580b,Procurement Engineer,wander -,"Cairo, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,Entry Level,· Engineering - Construction/Civil/Architecture,"['· Engineering', '· Procurement', '· Purchasing', '· Negotiation', '· excel', '· Contract', '· Architecture Engineering', '· Architecture']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Ri5jA14ImLn9-Procurement-Engineer-wander-Cairo-Egypt
